time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.5336665133e-05,3.87194629788e-05,10.0068008498,0.00905755442681,0.00305996186414,0.0,-0.00090541658384,0.00234618730965,0.226673245518,0.0317900993536,-0.0203998500111,0.0,476.0337252323252,474.4704993730264,474.32720368751535,476.76182681767733
0.12000000000000001,-0.000145812583924,0.000392427696883,10.0250571527,0.0115246278472,0.00464949811453,0.0,-0.0036404571082,0.0097259796192,0.381826905716,0.022307434026,-0.040013645475,0.0,454.73543592791737,453.16162861641584,454.7284498410918,453.96853724027767
0.18,-0.000465673513532,0.00125744328889,10.0540264772,0.0132420235475,0.00252124935258,0.0,-0.00678025749377,0.0193174332931,0.583733802217,0.0142579832145,-0.0470575800397,0.0,467.9599445074252,467.41051478111194,469.2682500645129,468.64304511797667
0.23999999999999996,-0.000930888974543,0.00273335793425,10.0947613799,0.0147874909347,0.00268291111754,0.0,-0.00872488504843,0.0300684648358,0.773983736739,0.00387982288137,-0.0292932381074,0.0,465.5853559615558,466.97211055550434,464.2393850723228,463.42434113070567
0.3,-0.0015055320099,0.0048215887444,10.1424806092,0.0161130310823,0.003012108789,0.0,-0.0104468935411,0.0396530209962,0.816625542859,0.0141937482583,-0.0146233924064,0.0,418.19411338553397,419.46967211578357,418.63426006414574,419.5305306770737
0.36000000000000004,-0.00220579818013,0.00755042064591,10.1952777268,0.0171558434312,0.00491647260914,0.0,-0.013117455704,0.0514128637291,0.94317929187,0.0179315843251,-0.0341333644131,0.0,446.4942680491226,444.8999053367897,446.09562671717305,446.4006029801613
0.4200000000000001,-0.0030867889932,0.0109265653886,10.2509179349,0.0185733537724,0.00829394425867,0.0,-0.0165500047676,0.0612489073229,0.911516141981,0.0102174093817,-0.0608776313119,0.0,394.99173242886445,392.51652266001025,394.3548463584002,393.6416623328156
0.48000000000000015,-0.00428001855212,0.0150500413928,10.311702824,0.0204392345985,0.00864478356909,0.0,-0.0232914194056,0.0764024949355,1.11446598528,0.0213373061352,-0.0840293664577,0.0,469.3014837054022,467.4979022489759,469.83778109678923,470.69889869972377
0.5400000000000001,-0.00588553105536,0.0200850005027,10.382709328,0.0217260107556,0.012921279447,0.0,-0.0307226912035,0.0915675416298,1.25226776002,0.018645690159,-0.118690875631,0.0,451.21928311939337,448.40487542966093,450.38753007491846,450.1697827805794
0.6000000000000002,-0.00800366458801,0.0261151215073,10.4638460941,0.0264306767217,0.00586572514463,0.0,-0.0390529646803,0.110006228046,1.45205318531,-0.00333293153492,-0.116833925922,0.0,469.44733675345196,469.57968477472565,469.57099258539273,467.8629908679451
0.6600000000000003,-0.0104486165945,0.0332660261341,10.5541642928,0.0263334110391,0.000743271232817,0.0,-0.0419032631714,0.128340548938,1.55841632432,-0.00082274220017,-0.10293659233,0.0,440.5436306725367,441.67986534684655,440.9547432521393,441.1620907267634
0.7200000000000003,-0.0129552580922,0.0414823158145,10.6495024987,0.0272629982932,6.27775813784,0.0,-0.0410602481787,0.145613082581,1.61943587392,0.00888208513618,-0.105597466211,0.0,427.47685261494297,427.24020353550645,425.9502912420085,426.77932128000106
0.7800000000000004,-0.0152915263704,0.0507684505578,10.7490659104,0.0281232123298,6.27255104133,0.0,-0.0363133888783,0.164000868816,1.69922272512,0.0140628875367,-0.118498254423,0.0,434.11898153176224,433.0241814001655,432.4758368698164,432.9118355081163
0.8400000000000004,-0.0172301371843,0.0612074348839,10.8545152451,0.0293440948121,6.26833297767,0.0,-0.0278895452203,0.184080951308,1.81556791485,0.0196960903122,-0.138366196177,0.0,446.3087078919596,444.6700379634203,444.25671714968297,444.7182456006954
0.9000000000000005,-0.0186082212029,0.0728034681742,10.9642073925,0.0324046474046,6.26170828045,0.0,-0.0174589293725,0.202744394909,1.84077640792,0.003433040054,-0.153804951594,0.0,418.2557387423195,416.8883292572275,415.02945505003066,413.5996125106659
0.9600000000000005,-0.0191417570682,0.0857870563485,11.0804027621,0.0471168690768,6.25960109002,0.0,-5.75143846452e-05,0.231682940773,2.03200918812,0.0439725313634,-0.125748866306,0.0,467.72958590263875,469.89103910779284,466.3991771206178,469.5545353103958
1.0200000000000005,-0.0186887538138,0.100611610222,11.2036114056,0.0563638229823,6.25739037112,0.0,0.0153849987743,0.263303833621,2.07481544289,0.070958620811,-0.101620855592,0.0,421.4525090713512,423.51945850882703,422.00116808997535,424.32613076616946
1.0800000000000005,-0.0171512439242,0.117761551695,11.333858882,0.0638763431724,6.25559012802,0.0,0.0360887556075,0.309184714654,2.26634304091,0.0895581829458,-0.0800820097268,0.0,469.0402615496284,470.7028930277048,468.60282581522625,470.0507544646322
1.1400000000000006,-0.0144151235947,0.137629391641,11.4723274649,0.071418507645,6.25214958476,0.0,0.0554647220924,0.353830347544,2.34903901106,0.0721810707977,-0.0684307730488,0.0,436.211298199528,437.1784425523782,438.02933894773014,436.5877990821709
1.2000000000000006,-0.0104943419169,0.160214907316,11.6142073893,0.0794876385806,6.24810901052,0.0,0.0755992624985,0.399734431367,2.38015037153,0.0921945626399,-0.0665859192353,0.0,420.8228390846496,420.9787598403245,419.6840999649155,421.4229477445768
1.2600000000000007,-0.0051388665504,0.186069759776,11.7623708931,0.0890536670139,6.24615792454,0.0,0.103141031872,0.463121134447,2.55813706498,0.113029446595,-0.052078668789,0.0,466.29734760841313,467.426681322554,466.94034158752584,468.57076945976274
